NAME,POSITION,RECENT_FORM,INT_FORM,MATCH_CLASS_FORM,PREDICTION
Bilal Sayedi,Unknown,2.96,1.82,1.82,2.75
Nangeyalia Kharote,Unknown,5.7,5.82,6.185,9.25
Allah Noor,Unknown,4.5,2.06,1.935,5.0
Suliman Safi,Unknown,4.37,5.35,5.35,7.75
Ijaz Ahmad Ahmadzai,Unknown,2.96,3.33,3.33,4.25
Mohammad Ishaq,Unknown,2.45,2.03,2.325,3.5
Izharulhaq Naveed,Unknown,7.48,7.63,7.105,12.25
Abdul Hadi,Unknown,0.81,0.0,0.0,0.0
Noor Ahmad,Bowler,6.47,7.51,8.595,11.75
Bilal Sami,Unknown,6.51,5.36,5.36,9.75
Naveed Zadran,Unknown,3.92,3.92,3.92,5.25
Faisal Khan Ahmadzai,Unknown,4.17,4.8,4.8,7.0
Khalil Ahmad,Unknown,0.0,0.0,0.0,0.0
Khaiber Wali,Unknown,3.0,2.17,2.17,4.5
Mohammadullah Najibullah,Unknown,2.66,2.16,2.415,3.5
Bilal Ahmad,Unknown,1.95,3.66,3.615,3.25
Ijaz Ahmad,Unknown,1.96,2.4,2.115,2.5
Shahidullah Hasani,Unknown,8.51,7.05,7.05,13.25
Chamindu Wickramasinghe,Unknown,4.11,2.59,1.965,5.0
Sadisha Rajapaksa,Unknown,6.18,3.86,3.595,8.25
Shevon Daniel,Unknown,4.34,3.8,3.205,6.25
Matheesha Pathirana,Unknown,4.72,3.59,3.94,6.25
Ranuda Somarathne,Unknown,2.49,2.41,2.08,3.5
Dunith Wellalage,Unknown,12.12,11.02,12.375,20.75
Raveen de Silva,Unknown,2.85,4.82,3.42,4.5
Treveen Mathew,Unknown,5.89,6.9,6.72,9.5
Sakuna Liyanage,Unknown,2.03,3.46,3.135,4.25
Vinuja Ranpul,Unknown,5.19,6.88,6.88,9.5
Yasiru Rodrigo,Unknown,3.1,3.36,2.95,4.75
Anjala Bandara,Unknown,1.29,2.09,2.085,2.5
Malsha Tharupathi,Unknown,3.07,2.99,2.99,4.5
Wanuja Sahan,Unknown,4.76,5.47,5.45,7.75
Sadeesh Jayawardena,Unknown,1.98,1.98,1.98,1.75
Pawan Pathiraja,Unknown,3.03,3.8,2.935,4.75
Abisheak Liyanaarachchi,Unknown,2.89,2.89,2.89,3.5
