NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aaron Finch,2 Batsmen,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,3.065,3.82,4.214,3.552,4.5,4.75,89
Andre Russell,3 All Rounder,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,7.851,4.374,4.374,7.851,10.5,15.25,21
Devdutt Padikkal,2 Batsmen,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,3.373,3.713,3.713,3.544,4.5,4.5,35
Jos Buttler,1 Wicketkeeper,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,4.666,4.55,7.283,8.105,8.0,11.75,154
Karun Nair,2 Batsmen,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,4.39,0.0,0.0,6.607,7.0,6.0,15
Nitish Rana,2 Batsmen,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,4.081,1.278,1.518,3.297,5.5,3.75,29
Obed McCoy,4 Bowler,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,5.755,6.506,6.506,6.101,8.0,12.0,58
Pat Cummins,4 Bowler,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,6.811,5.64,3.685,6.559,9.0,12.25,29
Prasidh Krishna,4 Bowler,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,6.28,7.057,0.0,2.975,7.0,6.5,35
Ravichandran Ashwin,3 All Rounder,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,3.862,8.808,8.415,1.747,3.5,6.75,39
Riyan Parag,2 Batsmen,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,5.701,0.0,0.0,1.998,5.5,1.25,18
Sanju Samson,1 Wicketkeeper,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,3.169,2.989,2.613,3.408,4.5,3.75,79
Sheldon Jackson,1 Wicketkeeper,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,3.659,0.0,0.0,0.577,3.0,0.0,12
Shimron Hetmyer,2 Batsmen,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,5.098,2.761,2.982,6.127,8.0,9.0,54
Shivam Mavi,3 All Rounder,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,6.364,0.0,0.0,4.667,8.0,6.0,45
Shreyas Iyer,2 Batsmen,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,6.086,4.926,5.634,6.324,9.0,12.25,116
Sunil Narine,3 All Rounder,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,4.798,0.0,0.0,4.798,6.0,4.0,66
Trent Boult,4 Bowler,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,6.544,7.153,6.942,6.373,9.0,14.0,0
Umesh Yadav,4 Bowler,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,5.339,3.727,0.0,7.347,8.5,10.25,28
Varun Chakravarthy,4 Bowler,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,1.82,1.398,1.398,2.022,2.0,1.25,7
Venkatesh Iyer,3 All Rounder,"Brabourne Stadium, Mumbai",KKR,RR,AWAY,CHASE,4.007,4.041,4.608,4.007,6.0,7.0,10
Yuzvendra Chahal,4 Bowler,"Brabourne Stadium, Mumbai",RR,KKR,HOME,TARGET,6.725,4.831,4.391,7.03,9.5,13.5,151
